SampleID	Condition
ACF_1	CSF3R_FIRST
ACF_2	CSF3R_FIRST
ACF_3	CSF3R_FIRST
AFC_1	AMLETO_FIRST
AFC_2	AMLETO_FIRST
AFC_3	AMLETO_FIRST
EC_1	CSF3R_ONLY
EC_2	CSF3R_ONLY
EC_3	CSF3R_ONLY
EE_1	CONTROL
EE_2	CONTROL
EE_3	CONTROL
