SampleID	Condition
MOLM24C_1	MOLM24C
MOLM24C_2	MOLM24C
MOLM24C_3	MOLM24C
MOLM24D_1	MOLM24D
MOLM24D_2	MOLM24D
MOLM24D_3	MOLM24D
MOLM24G_1	MOLM24G
MOLM24G_2	MOLM24G
MOLM24G_3	MOLM24G
MOLM24Q_1	MOLM24Q
MOLM24Q_2	MOLM24Q
MOLM24Q_3	MOLM24Q
MOLM24X_1	MOLM24X
MOLM24X_2	MOLM24X
MOLM24X_3	MOLM24X
MOLM24Y_1	MOLM24Y
MOLM24Y_2	MOLM24Y
MOLM24Y_3	MOLM24Y
